Timestamp, Humidity %, Temperature(°C), Heat-Index 
[2024-05-22 22:09:01.970],69.2,35.1,50.25
[2024-05-22 22:10:02.309],69.1,35.1,50.19
[2024-05-22 22:11:02.633],69,35.1,50.13
[2024-05-22 22:12:02.973],68.8,35.1,50.02
[2024-05-22 22:13:03.297],68.8,35.1,50.02
[2024-05-22 22:14:03.620],68.9,35,49.71
[2024-05-22 22:15:03.960],68.8,35.1,50.02
[2024-05-22 22:16:04.284],68.8,35.1,50.02
[2024-05-22 22:17:04.623],68.7,35,49.6
[2024-05-22 22:18:04.957],68.8,35,49.66
[2024-05-22 22:19:05.281],68.7,35,49.6
[2024-05-22 22:20:05.620],68.7,35,49.6
[2024-05-22 22:21:05.944],68.7,35,49.6
[2024-05-22 22:22:06.277],68.7,35,49.6
[2024-05-22 22:23:06.617],68.5,35,49.49
[2024-05-22 22:24:06.940],68.5,35,49.49
[2024-05-22 22:25:07.280],68.6,35,49.54
[2024-05-25 08:24:35.260],67.6,32,39.55
[2024-05-25 08:25:35.604],73.1,32.9,44.5
[2024-05-25 08:26:35.927],71.8,33.1,44.59
[2024-05-25 08:27:36.267],71,33.4,45.23
[2024-05-25 08:28:36.591],70.5,33.4,44.99
[2024-05-25 08:29:36.930],70.2,33.6,45.52
[2024-05-25 08:30:37.249],70,33.7,45.76
[2024-05-25 08:31:37.588],70.1,33.8,46.15
[2024-05-25 08:32:37.912],69.6,33.9,46.24
[2024-05-25 08:33:38.252],69.7,34,46.63
[2024-05-25 08:34:38.576],69.5,34.1,46.87
[2024-05-25 08:35:38.915],69.3,34.2,47.11
[2024-05-25 08:36:39.239],69.1,34.3,47.35
[2024-05-25 08:37:39.579],68.2,34.3,46.89
[2024-05-25 08:38:39.902],68.8,34.3,47.2
[2024-05-25 08:39:40.242],68.4,34.4,47.34
[2024-05-25 08:40:40.562],68.2,34.4,47.23
[2024-05-25 08:41:40.872],66.9,34.4,46.57
[2024-05-25 08:42:41.181],66.5,34.3,46.04
[2024-05-25 08:43:41.506],66.2,34.3,45.9
[2024-05-25 08:44:41.816],67.1,34.3,46.34
[2024-05-25 08:45:42.141],67.7,34.3,46.64
[2024-05-25 08:46:42.450],68.2,34.2,46.56
[2024-05-25 08:47:42.775],65.8,34.2,45.38
[2024-05-25 08:48:43.085],66.8,34,45.22
[2024-05-25 08:49:43.410],67.7,33.9,45.32
[2024-05-25 08:50:43.714],68.4,33.7,45
[2024-05-25 08:51:44.039],68.8,33.5,44.54
[2024-05-25 08:52:44.349],69,33.5,44.63
[2024-05-25 08:53:44.674],68.8,33.5,44.54
[2024-05-25 08:54:44.983],68.6,33.5,44.45
[2024-05-25 08:55:45.309],68.1,33.5,44.22
[2024-05-25 08:56:45.618],67.8,33.5,44.09
[2024-05-25 08:57:45.947],67.9,33.4,43.82
[2024-05-25 08:58:46.260],67.3,33.4,43.55
[2024-05-25 08:59:46.590],67.1,33.5,43.77
[2024-05-25 09:00:46.913],67,33.6,44.04
[2024-05-25 09:01:47.227],67.4,33.6,44.22
[2024-05-25 09:02:47.556],67.4,33.8,44.86
[2024-05-25 09:03:47.869],67,33.9,44.99
[2024-05-25 09:04:48.183],67.4,33.9,45.18
[2024-05-25 09:05:48.512],67,34.1,45.64
[2024-05-25 09:06:48.826],67.3,34.1,45.78
[2024-05-25 09:07:49.155],67,34.2,45.96
[2024-05-25 09:08:49.468],67.4,34.2,46.16
[2024-05-25 09:09:49.797],67.1,34.2,46.01
[2024-05-25 09:10:50.120],67.4,34.2,46.16
[2024-05-25 09:11:50.434],67.5,34.4,46.87
[2024-05-25 09:12:50.763],67.5,34.4,46.87
[2024-05-25 09:13:51.076],67.4,34.5,47.16
[2024-05-25 09:14:51.408],67.2,34.3,46.39
[2024-05-25 09:15:51.725],67.3,34.4,46.77
[2024-05-25 09:16:52.057],67.3,34.5,47.11
[2024-05-25 09:17:52.374],67.4,34.5,47.16
[2024-05-25 09:18:52.690],67.4,34.5,47.16
[2024-05-25 09:19:53.022],67.3,34.5,47.11
[2024-05-25 09:20:53.349],66.9,34.4,46.57
[2024-05-25 09:21:53.666],67.2,34.5,47.06
[2024-05-25 09:22:53.994],67.2,34.7,47.73
[2024-05-25 09:23:54.322],67.1,34.6,47.34
[2024-05-25 09:24:54.639],67.3,34.6,47.45
[2024-05-25 09:25:54.973],67,34.7,47.63
[2024-05-25 09:26:55.289],65.5,34.6,46.52
[2024-05-25 09:27:55.621],65.3,34.5,46.1
[2024-05-25 09:28:55.938],66.4,34.4,46.32
[2024-05-25 09:29:56.254],66.6,34.5,46.75
[2024-05-25 09:30:56.588],66.9,34.6,47.24
[2024-05-25 09:31:56.907],67.1,34.6,47.34
[2024-05-25 09:32:57.241],67.1,34.6,47.34
[2024-05-25 09:33:57.560],67.3,34.6,47.45
[2024-05-25 09:34:57.894],67.7,34.7,48
[2024-05-25 09:35:58.213],67.7,34.5,47.31
[2024-05-25 09:36:58.547],67.4,34.6,47.5
[2024-05-25 09:37:58.866],67.2,34.8,48.08
[2024-05-25 09:38:59.200],64.7,34.6,46.12
[2024-05-25 09:39:59.518],65.2,34.5,46.05
[2024-05-25 09:40:59.846],66.2,34.5,46.55
[2024-05-25 09:42:00.180],66.9,34.4,46.57
[2024-05-25 09:43:00.499],66.4,34.5,46.65
[2024-05-25 09:44:00.817],66.8,34.6,47.19
[2024-05-25 09:45:01.152],66.5,34.6,47.03
[2024-05-25 09:46:01.470],66.4,34.5,46.65
[2024-05-25 09:47:01.805],66.7,34.5,46.8
[2024-05-25 09:48:02.123],66.1,34.5,46.5
[2024-05-25 09:49:02.459],66.7,34.5,46.8
[2024-05-26 08:06:07.113],67,32.1,39.62
[2024-05-26 08:08:07.746],71.8,33,44.26
[2024-05-26 08:10:08.378],70.6,33.4,45.04
[2024-05-26 08:12:09.013],70.5,33.3,44.66
[2024-05-26 08:14:09.645],70,33.4,44.76
[2024-05-26 08:16:10.293],69.8,33.6,45.33
[2024-05-26 08:18:10.925],69.5,33.5,44.86
[2024-05-26 08:20:11.554],69.7,33.5,44.95
[2024-05-26 08:22:12.202],70,33.5,45.09
[2024-05-26 08:24:12.834],70.3,33.4,44.9
[2024-05-26 08:26:13.466],70.5,33.4,44.99
[2024-05-26 08:28:14.099],70.8,33.4,45.13
[2024-05-26 08:30:14.741],70.6,33.1,44.05
[2024-05-26 08:32:15.373],70,33.6,45.43
[2024-05-26 08:34:16.006],70.2,33.7,45.86
[2024-05-26 08:36:16.638],70.2,33.9,46.54
[2024-05-26 08:38:17.272],71.1,34.2,48.04
[2024-05-26 08:40:17.915],69.1,34.2,47.01
[2024-05-26 08:42:18.547],69.3,34.1,46.77
[2024-05-26 08:44:19.182],69.6,34.1,46.92
[2024-05-26 08:46:19.814],69.2,34.1,46.72
[2024-05-26 08:48:20.446],69.3,34,46.43
[2024-05-26 08:50:21.085],69.3,34,46.43
[2024-05-26 08:52:21.733],69.6,34,46.58
[2024-05-26 08:54:22.361],69.5,33.9,46.19
[2024-05-26 08:56:22.994],70.1,34,46.83
[2024-05-26 08:58:23.626],68.9,34,46.23
[2024-05-26 09:00:24.273],69.3,34,46.43
[2024-05-26 09:02:24.903],69.2,34,46.38
[2024-05-26 09:04:25.536],69,34,46.28
[2024-05-26 09:06:26.168],69.1,34,46.33
[2024-05-26 09:08:26.800],69.2,34.1,46.72
[2024-05-26 09:10:27.442],68.8,34.1,46.52
[2024-05-26 09:12:28.075],67.7,34.1,45.98
[2024-05-26 09:14:28.722],67.6,33.7,44.63
[2024-05-26 09:16:29.355],68.2,34,45.89
[2024-05-26 09:18:29.987],68.4,34,45.99
[2024-05-26 09:20:30.630],68.9,34.1,46.57
[2024-05-26 09:22:31.262],68.8,34.1,46.52
[2024-05-26 09:24:31.895],69.3,34.1,46.77
[2024-05-26 09:26:32.527],67.8,34.2,46.36
[2024-05-26 09:28:33.159],67.8,33.8,45.05
[2024-05-26 09:30:33.803],68.4,33.7,45
[2024-05-26 09:32:34.435],68.3,33.9,45.61
[2024-05-26 09:34:35.067],68.1,34,45.84
[2024-05-26 09:36:35.700],67.7,34.1,45.98
[2024-05-26 09:38:36.347],67.3,33.8,44.81
