Timestamp, Humidity %, Temperature(°C), Heat-Index 
[2024-04-16 09:55:08.672],59.5,33.1,39.59
[2024-04-16 09:55:18.749],59.5,33.1,39.59
[2024-04-16 09:55:28.827],59.4,33.2,39.81
[2024-04-16 09:55:38.903],59.4,33.2,39.81
[2024-04-16 09:55:48.980],59.6,33.2,39.88
[2024-04-16 09:55:59.057],60.1,33.2,40.07
[2024-04-16 09:56:09.135],60.2,33.2,40.11
[2024-04-16 09:56:19.227],60.2,33.3,40.37
[2024-04-16 09:56:29.288],60.5,33.3,40.48
[2024-04-16 09:56:39.381],60.4,33.4,40.71
[2024-04-16 09:56:49.458],60.2,33.4,40.63
[2024-04-16 09:56:59.535],60.5,33.4,40.75
[2024-04-16 09:57:09.612],60,33.4,40.56
[2024-04-16 09:57:19.677],60,33.4,40.56
[2024-04-16 09:57:29.763],60.3,33.4,40.67
[2024-04-16 09:57:39.840],60.3,33.4,40.67
[2024-04-16 09:57:49.913],60.1,33.4,40.59
[2024-04-16 09:58:00.001],59.7,33.5,40.7
[2024-04-16 23:06:28.941],61.1,34.6,44.38
[2024-04-16 23:06:39.018],61.1,34.6,44.38
[2024-04-16 23:06:49.097],61.1,34.6,44.38
[2024-04-16 23:06:59.180],61,34.6,44.34
[2024-04-16 23:07:19.342],61,34.6,44.34
[2024-04-16 23:07:29.419],61,34.6,44.34
[2024-04-16 23:07:39.504],61,34.6,44.34
[2024-04-16 23:07:49.589],60.9,34.6,44.29
[2024-04-16 23:07:59.666],60.8,34.6,44.24
[2024-04-16 23:08:09.742],60.8,34.6,44.24
[2024-04-16 23:08:19.819],60.8,34.6,44.24
[2024-04-16 23:08:29.896],61,34.6,44.34
[2024-04-16 23:08:39.973],61.4,34.5,44.23
[2024-04-16 23:08:50.050],61.7,34.6,44.66
[2024-04-16 23:09:00.119],62,34.6,44.81
[2024-04-16 23:09:10.212],62.2,34.6,44.9
[2024-04-16 23:09:20.281],62.3,34.7,45.26
[2024-04-16 23:09:30.366],62.4,34.6,45
[2024-04-16 23:09:40.443],62.5,34.7,45.35
[2024-04-16 23:09:50.512],62.5,34.7,45.35
[2024-04-16 23:10:00.589],62.7,34.7,45.45
[2024-04-16 23:10:10.682],62.6,34.7,45.4
[2024-04-16 23:10:20.743],62.5,34.7,45.35
[2024-04-16 23:10:30.836],62.3,34.7,45.26
[2024-04-16 23:10:40.913],62,34.7,45.11
[2024-04-16 23:10:50.981],62.1,34.8,45.47
[2024-04-16 23:11:01.067],62.4,34.8,45.61
[2024-04-16 23:11:11.144],62.4,34.8,45.61
[2024-04-16 23:11:21.221],62.3,34.8,45.56
[2024-04-16 23:11:31.298],62.3,34.8,45.56
[2024-04-16 23:28:40.885],61.5,34.8,45.17
[2024-04-16 23:28:50.961],61.5,34.8,45.17
[2024-04-16 23:29:01.038],61.6,34.8,45.22
[2024-04-16 23:29:11.116],61.6,34.8,45.22
[2024-04-16 23:29:21.192],61.6,34.8,45.22
[2024-04-16 23:29:31.270],61.7,34.8,45.27
[2024-04-16 23:29:41.346],61.8,34.8,45.32
[2024-04-16 23:29:51.423],61.9,34.8,45.37
[2024-04-16 23:30:01.501],62,34.8,45.42
[2024-04-16 23:30:11.577],62.1,34.8,45.47
[2024-04-16 23:30:21.655],62.1,34.8,45.47
[2024-04-16 23:30:31.747],62.1,34.8,45.47
[2024-04-16 23:30:41.825],62.3,34.8,45.56
[2024-04-16 23:30:51.901],62.5,34.8,45.66
[2024-04-16 23:31:01.978],62.8,34.8,45.81
[2024-04-16 23:31:12.048],62.8,34.8,45.81
[2024-04-16 23:31:22.132],62.9,34.9,46.17
[2024-04-16 23:31:32.209],62.8,34.9,46.12
[2024-04-16 23:31:42.286],62.7,34.9,46.07
[2024-04-16 23:31:52.364],62.6,34.9,46.02
[2024-04-16 23:32:02.439],62.7,34.9,46.07
[2024-04-16 23:32:12.517],62.7,34.9,46.07
[2024-04-16 23:32:22.601],62.9,34.9,46.17
[2024-04-16 23:32:32.671],63,34.9,46.22
